Test,LeonCorrect
bool-always-false,\correct
bool-always-true,\correct
bool-band,\correct
bool-bor,\correct
bool-impl,\correct
bool-neg,\correct
bool-xor,\correct
list-append,\correct
list-compress,\na
list-concat,\incorrect
list-drop,\correct
list-even-parity,\correct
list-filter,\na
list-fold,\na
list-hd,\correct
list-inc,\correct
list-last,\correct
list-length,\correct
list-map,\na
list-nth,\na
list-pairwise-swap,\incorrect
list-rev-append,\correct
list-rev-fold,\correct
list-rev-snoc,\incorrect
list-rev-tailcall,\na
list-snoc,\correct
list-sort-sorted-insert,\correct
list-sorted-insert,\na
list-stutter,\correct
list-sum,\correct
list-take,\incorrect
list-tl,\correct
nat-add,\correct
nat-iseven,\correct
nat-max,\incorrect
nat-pred,\correct
tree-binsert,\na
tree-collect-leaves,\correct
tree-count-leaves,\correct
tree-count-nodes,\correct
tree-inorder,\correct
tree-map,\na
tree-nodes-at-level,\na
tree-postorder,\correct
tree-preorder,\correct
